2005,Tarzan Boy,nailofgilead,0.19,11/2/2005
2005,Life Goes On,fhearnoiz,0.13,9/22/2005
2005,Me at the zoo,jawed,0.12,4/23/2005
2005,guitar,guitar90,0.09,12/20/2005
2005,Hurt,beachbuggy,0.09,12/12/2005
2006,Galinha Pintadinha - videoclip infantil animado,Galinha Pintadinha,0.66,12/28/2006
2006,Ella y Yo,JosephIngma,0.53,4/27/2006
2006,I Write Sins Not Tragedies,Fueled By Ramen,0.32,7/18/2006
2006,Evolution of Dance,Judson Laipply,0.31,4/6/2006
2006,Hit the Road Jack,Andres Trevino,0.21,6/3/2006
2007,The Gummy Bear Song,icanrockyourworld,2.13,10/9/2007
2007,Numb,Linkin Park,1.47,3/4/2007
2007,Osito Gominola - Full Spanish Version - The Gummy Bear Song,icanrockyourworld,1,10/16/2007
2007,Charlie Bit My Finger,HDCYT,0.88,5/22/2007
2007,What I've Done,Linkin Park,0.49,4/3/2007
2008,Bohemian Rhapsody,Queen Official,1.22,8/1/2008
2008,Hot n Cold,Katy Perry,1,10/13/2008
2008,Pintinho Amarelinho - DVD Galena Pintadinha,Galinha Pintadinha,0.86,9/15/2008
2008,Viva la Vida,Coldplay,0.65,8/4/2008
2008,Don't Stop Me Now,Queen Official,0.63,8/1/2008
2009,Axel F,Crazy Frog,2.44,6/16/2009
2009,November Rain,Guns N' Roses,1.45,12/25/2009
2009,Bad Romance,Lady Gaga,1.28,11/24/2009
2009,Sweet Child o' Mine,Guns N' Roses,1.14,12/25/2009
2009,Smells Like Teen Spirit,Nirvana,1.14,6/16/2009
2010,Waka Waka (This Time for Africa),Shakira,2.62,6/4/2010
2010,Baby,Justin Bieber,2.33,2/19/2010
2010,Love the Way You Lie,Eminem,2.08,8/5/2010
2010,Rolling in the Deep,Adele,1.74,11/30/2010
2010,Just the Way You Are,Bruno Mars,1.53,9/8/2010
2011,The Lazy Song,Bruno Mars,1.98,4/15/2011
2011,Party Rock Anthem,LMFAO,1.91,3/8/2011
2011,A Thousand Years,Christina Perri,1.68,10/26/2011
2011,On the Floor,Jennifer Lopez,1.62,3/3/2011
2011,Someone like You,Adele,1.57,9/29/2011
2012,Masha and the Bear - Recipe for Disaster,Get Movies,4.35,1/31/2012
2012,Gangnam Style,Psy,3.83,7/15/2012
2012,Let Her Go,Passenger,2.82,7/25/2012
2012,Diamonds,Rihanna,1.58,11/8/2012
2012,Thrift Shop,Macklemore & Ryan Lewis,1.49,8/29/2012
2013,Roar,Katy Perry,3.2,9/5/2013
2013,Counting Stars,OneRepublic,3.08,5/31/2013
2013,Wake Me Up,Avicii,1.97,7/29/2013
2013,Rude,Magic!,1.89,12/5/2013
2013,All of Me,John Legend,1.78,10/2/2013
2014,Uptown Funk,Mark Ronson,3.98,11/19/2014
2014,Phonics Song with Two Words,ChuChu TV,3.17,3/6/2014
2014,Thinking Out Loud,Ed Sheeran,3.1,10/7/2014
2014,Shake It Off,Taylor Swift,2.97,8/18/2014
2014,Bailando,Enrique Iglesias,2.92,4/11/2014
2015,See You Again,Wiz Khalifa,4.78,4/6/2015
2015,Sorry,Justin Bieber,3.35,10/22/2015
2015,Sugar,Maroon 5,3.31,1/14/2015
2015,Lean On,Major Lazer,2.91,3/22/2015
2015,Faded,Alan Walker,2.89,12/3/2015
2016,Baby Shark Dance,Pinkfong Kids' Songs & Stories,6.96,6/17/2016
2016,Johny Johny Yes Papa,LooLoo Kids,4.09,10/8/2016
2016,Chantaje,Shakira,2.59,11/18/2016
2016,Closer (Lyric video),The Chainsmokers,2.56,7/29/2016
2016,We Don't Talk Anymore,Charlie Puth,2.53,8/2/2016
2017,Despacito,Luis Fonsi,7.03,1/12/2017
2017,Shape of You,Ed Sheeran,5.04,1/30/2017
2017,Mi Gente,J Balvin,2.79,6/29/2017
2017,Perfect,Ed Sheeran,2.59,11/9/2017
2017,New Rules,Dua Lipa,2.27,7/7/2017
2018,Learning Colors - Colorful Eggs on a Farm,Miroshka TV,3.65,2/27/2018
2018,Bath Song,Cocomelon - Nursery Rhymes,3.16,5/2/2018
2018,Girls Like You,Maroon 5,2.86,5/31/2018
2018,Dame Tu Cosita,Ultra Music,2.83,4/5/2018
2018,Yes Yes Vegetables Song,Cocomelon - Nursery Rhymes,2.48,8/10/2018
2019,Con Calma,Daddy Yankee,2.08,1/23/2019
2019,Con Altura,Rosalia,1.63,3/28/2019
2019,China,Anuel AA,1.54,7/19/2019
2019,Dance Monkey,Tones and I,1.34,6/24/2019
2019,No Me Conoce (Remix),Jhay Cortez,1.22,5/16/2019
2020,Life Is Good,Future,1.16,1/10/2020
2020,Gooba,6ix9ine,0.61,5/8/2020
2020,Genda Phool,Sony Music India,0.61,3/26/2020
2020,How You Like That,Blackpink,0.61,6/26/2020
2020,Dynamite,BTS,0.53,8/20/2020
