2001-01-06,1,Independent Women Part I,Destiny's Child
2001-01-06,2,He Loves U Not,Dream
2001-01-06,3,It Wasn't Me,Shaggy Featuring Ricardo RikRok Ducent
2001-01-06,4,Case Of The Ex (Whatcha Gonna Do),Mya
2001-01-06,5,With Arms Wide Open,Creed
2001-01-06,6,Ms. Jackson,OutKast
2001-01-06,7,The Way You Love Me,Faith Hill
2001-01-06,8,Dance With Me,Debelah Morgan
2001-01-06,9,If You're Gone,matchbox twenty
2001-01-06,10,Liquid Dreams,O-Town
2001-01-06,11,This I Promise You,'N Sync
2001-01-06,12,I Just Wanna Love U (Give It 2 Me),Jay-Z
2001-01-06,13,Again,Lenny Kravitz
2001-01-06,14,Love Don't Cost A Thing,Jennifer Lopez
2001-01-06,15,Kryptonite,3 Doors Down
2001-01-06,16,Most Girls,Pink
2001-01-06,17,Gotta Tell You,Samantha Mumba
2001-01-06,18,I Wish,R. Kelly
2001-01-06,19,E.I.,Nelly
2001-01-06,20,Pinch Me,Barenaked Ladies
2001-01-06,21,Crazy For This Girl,Evan And Jaron
2001-01-06,22,Stronger,Britney Spears
2001-01-06,23,Danger (Been So Long),Mystikal Featuring Nivea
2001-01-06,24,What's Your Fantasy,Ludacris Featuring Shawna
2001-01-06,25,So In Love With Two,Mikaila
2001-01-06,26,Don't Tell Me,Madonna
2001-01-06,27,Music,Madonna
2001-01-06,28,Beautiful Day,U2
2001-01-06,29,Shape Of My Heart,Backstreet Boys
2001-01-06,30,Between Me And You,Ja Rule Featuring Christina Milian
2001-01-06,31,My First Love,Avant Featuring Ketara Wyatt
2001-01-06,32,Crazy,K-Ci & JoJo
2001-01-06,33,Bow Wow (That's My Name),Lil Bow Wow
2001-01-06,34,Hemorrhage (In My Hands),Fuel
2001-01-06,35,Just Friends (Sunny),Musiq
2001-01-06,36,Don't Think I'm Not,Kandi
2001-01-06,37,South Side,Moby Featuring Gwen Stefani
2001-01-06,38,Bent,matchbox twenty
2001-01-06,39,Mamacita,Public Announcement
2001-01-06,40,My Next Thirty Years,Tim McGraw
2001-01-06,41,No More (Baby I'ma Do Right),3LW
2001-01-06,42,The Christmas Shoes,NewSong
2001-01-06,43,My Everything,98 Degrees
2001-01-06,44,Without You,Dixie Chicks
2001-01-06,45,I Lost It,Kenny Chesney
2001-01-06,46,Born To Fly,Sara Evans
2001-01-06,47,Project Chick,Cash Money Millionaires
2001-01-06,48,You're A God,Vertical Horizon
2001-01-06,49,Best Of Intentions,Travis Tritt
2001-01-06,50,Promise,Jagged Edge
2001-01-06,51,One Woman Man,Dave Hollister
2001-01-06,52,Put It On Me,Ja Rule Featuring Lil' Mo And Vita
2001-01-06,53,Emotional,Carl Thomas
2001-01-06,54,She Bangs,Ricky Martin
2001-01-06,55,We Danced,Brad Paisley
2001-01-06,56,Tell Her,Lonestar
2001-01-06,57,Angel,Shaggy Featuring Rayvon
2001-01-06,58,The Itch,Vitamin C
2001-01-06,59,Loser,3 Doors Down
2001-01-06,60,It's Over Now,112
2001-01-06,61,911,Wyclef Jean Featuring Mary J. Blige
2001-01-06,62,Just Another Day In Paradise,Phil Vassar
2001-01-06,63,Oklahoma,Billy Gilman
2001-01-06,64,Babylon,David Gray
2001-01-06,65,Where Are You Christmas?,Faith Hill
2001-01-06,66,Ashes By Now,Lee Ann Womack
2001-01-06,67,Still On Your Side,BBMak
2001-01-06,68,You Make Me Sick,Pink
2001-01-06,69,www.memory,Alan Jackson
2001-01-06,70,Stan,Eminem Featuring Dido
2001-01-06,71,Is That Your Chick,Memphis Bleek Featuring Jay-Z & Missy Elliott
2001-01-06,72,Burn,Jo Dee Messina
2001-01-06,73,Stutter,Joe
2001-01-06,74,Rollin',Limp Bizkit
2001-01-06,75,Butterfly,Crazy Town
2001-01-06,76,X,Xzibit
2001-01-06,77,There Is No Arizona,Jamie O'Neal
2001-01-06,78,Could It Be,Jaheim
2001-01-06,79,Can't Fight The Moonlight,LeAnn Rimes
2001-01-06,80,Thank You In Advance,Boyz II Men
2001-01-06,81,Wild Horses,Garth Brooks
2001-01-06,82,But For The Grace Of God,Keith Urban
2001-01-06,83,The Little Girl,John Michael Montgomery
2001-01-06,84,Meanwhile Back At The Ranch,The Clark Family Experience
2001-01-06,85,You Shouldn't Kiss Me Like This,Toby Keith
2001-01-06,86,Liar,Profyle
2001-01-06,87,This Everyday Love,Rascal Flatts
2001-01-06,88,Oh No,Mos Def & Pharoahe Monch Featuring Nate Dogg
2001-01-06,89,Open My Heart,Yolanda Adams
2001-01-06,90,You Should've Told Me,Kelly Price
2001-01-06,91,Original Prankster,The Offspring
2001-01-06,92,Girls Dem Sugar,Beenie Man Featuring Mya
2001-01-06,93,Bouncing Off The Ceiling,A*Teens
2001-01-06,94,My Baby You,Marc Anthony
2001-01-06,95,Lady (Hear Me Tonight),Modjo
2001-01-06,96,A Little Gasoline,Terri Clark
2001-01-06,97,Cha-Cha Slide,Mr. C The Slide Man
2001-01-06,98,I Know,Sunday
2001-01-06,99,Kiss This,Aaron Tippin
2001-01-06,100,All Good?,De La Soul Featuring Chaka Khan
2001-01-13,1,Independent Women Part I,Destiny's Child
2001-01-13,2,It Wasn't Me,Shaggy Feat. Ricardo RikRok Ducent
2001-01-13,3,He Loves U Not,Dream
2001-01-13,4,Case Of The Ex (Whatcha Gonna Do),Mya
2001-01-13,5,With Arms Wide Open,Creed
2001-01-13,6,The Way You Love Me,Faith Hill
2001-01-13,7,Ms. Jackson,OutKast
2001-01-13,8,If You're Gone,matchbox twenty
2001-01-13,9,This I Promise You,'N Sync
2001-01-13,10,Dance With Me,Debelah Morgan
2001-01-13,11,Again,Lenny Kravitz
2001-01-13,12,I Just Wanna Love U (Give It 2 Me),Jay-Z
2001-01-13,13,Love Don't Cost A Thing,Jennifer Lopez
2001-01-13,14,Kryptonite,3 Doors Down
2001-01-13,15,E.I.,Nelly
2001-01-13,16,I Wish,R. Kelly
