Mitsuru Adachi,200 million,Japanese,1,Japanese
Jir Akagawa,330 million,Japanese,500,Japanese
Horatio Alger,400 million,English,135,American
Gosho Aoyama,200 million,Japanese,1,Japanese
Hirohiko Araki,100 million,Japanese,1,Japanese
Jeffrey Archer,330 million,English,33,English
David Baldacci,110 million,English,25,American
Stan and Jan Berenstain,260 million,English,300,American
Enid Blyton,600 million,English,800,English
Norman Bridwell,110 million,English,80,American
Dan Brown,200 million,English,7,American
Carter Brown,120 million,English,1,Australian
Edgar Rice Burroughs,100 million,English,1,American
Erskine Caldwell,100 million,English,25,American
Lewis Carroll,100 million,English,5,British
Barbara Cartland,1 billion,English,723,English
Agatha Christie,4 billion,English,85,English
Mary Higgins Clark,100 million,English,1,American
Paulo Coelho,350 million,Portuguese,28,Brazilian
Jackie Collins,400 million,English,25,English
Robin Cook,100 million,English,27,American
Catherine Cookson,120 million,English,103,British
Patricia Cornwell,100 million,English,34,American
John Creasey,100 million,English,600,British
Michael Crichton,150 million,English,25,American
Clive Cussler,150 million,English,37,American
Roald Dahl,250 million,English,50,British
Janet Dailey,300 million,English,93,American
Fr�d�ric Dard,270 million,French,300,French
Ian Fleming,100 million,English,14,British
Ken Follett,150 million,English,30,British
Erle Stanley Gardner,325 million,English,140,American
Anne Golon,100 million,French,14,French
Ren� Goscinny,325�million,French,108,French
Zane Grey,250 million,English,1,American
John Grisham,250 million,English,22,American
Arthur Hailey,170 million,English,11,British/Canadian
Roger Hargreaves,100 million,English,1,British
Hermann Hesse,100 million,German,45,German-Swiss
Eleanor Hibbert,100 million,English,200,British
Evan Hunter,100 million,English,94,American
EL James,125 million,English,3,British
Penny Jordan,100 million,English,200,British
Stephen King,350 million,English,77,American
Masashi Kishimoto,235�million,Japanese,72,Japanese
Dean Koontz,400 million,English,91,American
Judith Krantz,100 million,English,12,American
Tite Kubo,120 million,Japanese,74,Japanese
Louis L'Amour,330 million,English,101,American
C. S. Lewis,200 million,English,38,British
Astrid Lindgren,165 million,Swedish,100,Swedish
Robert Ludlum,290 million,English,40,American
Alistair MacLean,200 million,English,32,British
Debbie Macomber,140 million,English,1,American
Ann M. Martin,180 million,English,335,American
Karl May,200 million,German,80,German
Stephenie Meyer,116 million,English,6,American
James A. Michener,100 million,English,47,American
Seiichi Morimura,100 million,Japanese,350,Japanese
Andrew Neiderman,100 million,English,60,American
Kyotaro Nishimura,200 million,Japanese,400,Japanese
Eiichiro Oda,470�million,Japanese,97,Japanese
Gilbert Patten,500 million,English,209,American
James Patterson,275 million,English,98,American
Beatrix Potter,150 million,English,23,English
Alexander Pushkin,357 million,Russian,17,Russian
Anne Rice,100 million,English,27,American
Harold Robbins,750 million,English,23,American
Nora Roberts,400 million,English,200,American
Denise Robins,100 million,English,200,British
J. K. Rowling,500 million,English,15,British
Richard Scarry,150 million,English,250,American
Dr. Seuss,500 million,English,44,American
William Shakespeare,4 billion,English,42,English
Sidney Sheldon,600 million,English,21,American
Rytar Shiba,180 million,Japanese,350,Japanese
Georges Simenon,700 million,French,570,Belgian
Frank G. Slaughter,100 million,English,62,American
Wilbur Smith,100 million,English,32,South African/British
Nicholas Sparks,105 million,English,22,American
Mickey Spillane,200 million,English,1,American
Danielle Steel,800 million,English,179,American
R. L. Stine,400 million,English,430,American
Rex Stout,100 million,English,50,American
Rumiko Takahashi,200 million,Japanese,1,Japanese
Cor�n Tellado,400 million,Spanish,4000,Spanish
Osamu Tezuka,276�million,Japanese,62,Japanese
J. R. R. Tolkien,250 million,English,36,English
Leo Tolstoy,413 million,Russian,48,Russian
Akira Toriyama,287�million,Japanese,66,Japanese
Yasuo Uchida,100 million,Japanese,130,Japanese
G�rard de Villiers,150 million,French,170,French
Edgar Wallace,300 million,English,175,English
Irving Wallace,250 million,English,1,American
Cao Xueqin,100 million,Chinese,1,Chinese
Jin Yong,300 million,Chinese,15,Chinese
Eiji Yoshikawa,120 million,Japanese,7,Japanese
