2019,Virginia,Tony Bennett,85-77,Texas Tech,Minneapolis; Minn.
2018,Villanova,Jay Wright,79-62,Michigan,San Antonio; Tex.
2017,North Carolina,Roy Williams,71-65,Gonzaga,Phoenix; Ariz.
2016,Villanova,Jay Wright,77-74,North Carolina,Houston; Texas
2015,Duke,Mike Krzyzewski,68-63,Wisconsin,Indianapolis; Ind.
2014,Connecticut,Kevin Ollie,60-54,Kentucky,Arlington; Texas
2013,Louisville*,Rick Pitino,82-76,Michigan,Atlanta; Ga.
2012,Kentucky,John Calipari,67-59,Kansas,New Orleans; La.
2011,Connecticut,Jim Calhoun,53-41,Butler,Houston; Texas
2010,Duke,Mike Krzyzewski,61-59,Butler,Indianapolis; Ind.
2009,North Carolina,Roy Williams,89-72,Michigan State,Detroit; Mich.
2008,Kansas,Bill Self,75-68,Memphis,San Antonio; Texas
2007,Florida,Billy Donovan,84-75,Ohio State,Atlanta; Ga.
2006,Florida,Billy Donovan,73-57,UCLA,Indianapolis; Ind.
2005,North Carolina,Roy Williams,75-70,Illinois,St. Louis; Mo.
2004,Connecticut,Jim Calhoun,82-73,Georgia Tech,San Antonio; Texas
2003,Syracuse,Jim Boeheim,81-78,Kansas,New Orleans; La.
2002,Maryland,Gary Williams,64-52,Indiana,Atlanta; Ga.
2001,Duke,Mike Krzyzewski,82-72,Arizona,Minneapolis; Minn.
2000,Michigan State,Tom Izzo,89-76,Florida,Indianapolis; Ind.
1999,Connecticut,Jim Calhoun,77-74,Duke,St. Petersburg; Fla.
1998,Kentucky,Tubby Smith,78-69,Utah,San Antonio; Texas
1997,Arizona,Lute Olson,84-79,Kentucky,Indianapolis; Ind.
1996,Kentucky,Rick Pitino,76-67,Syracuse,East Rutherford; N.J.
1995,UCLA,Jim Harrick,89-78,Arkansas,Seattle; Wash.
1994,Arkansas,Nolan Richardson,76-72,Duke,Charlotte; N.C.
1993,North Carolina,Dean Smith,77-71,Michigan,New Orleans; La.
1992,Duke,Mike Krzyzewski,71-51,Michigan,Minneapolis; Minn.
1991,Duke,Mike Krzyzewski,72-65,Kansas,Indianapolis; Ind.
1990,UNLV,Jerry Tarkanian,103-73,Duke,Denver; Colo.
1989,Michigan,Steve Fisher,80-79,Seton Hall,Seattle; Wash.
1988,Kansas,Larry Brown,83-79,Oklahoma,Kansas City; Mo.
1987,Indiana,Bob Knight,74-73,Syracuse,New Orleans; La.
1986,Louisville,Denny Crum,72-69,Duke,Dallas; Texas
1985,Villanova,Rollie Massimino,66-64,Georgetown,"Lexington; Ky,"
1984,Georgetown,John Thompson,84-75,Houston,Seattle; Wash.
